timestamp_ms,rel_timestamp_ms,accel_x,accel_y,accel_z,label
1790088966845,29,0.0849,8.7452,1.8915,Standing Still
1790088966866,50,0.1878,9.4678,2.0351,Standing Still
1790088966887,71,-0.0126,9.3099,2.1858,Standing Still
1790088966910,94,-0.5312,8.8696,2.0638,Standing Still
1790088966931,115,-0.9667,9.2650,2.2289,Standing Still
1790088966951,135,-1.1695,8.8881,2.2367,Standing Still
1790088966972,156,-0.9476,8.9761,2.0608,Standing Still
1790088966995,179,-0.6592,9.5157,1.9609,Standing Still
1790088967015,199,-0.4660,9.5222,1.9729,Standing Still
1790088967038,222,-0.3272,10.0295,2.1057,Standing Still
1790088967057,241,-0.4002,10.0750,2.1535,Standing Still
1790088967079,263,-0.5659,9.6778,1.9143,Standing Still
1790088967099,283,-0.5492,9.8249,1.5505,Standing Still
1790088967121,305,-0.3942,9.4152,1.3896,Standing Still
1790088967142,326,-0.2644,9.2614,1.4489,Standing Still
1790088967164,348,-0.3320,9.4355,1.6875,Standing Still
1790088967184,368,-0.5312,9.4265,1.6481,Standing Still
1790088967206,390,-0.5821,9.4917,1.2670,Standing Still
1790088967228,412,-0.4391,9.3571,0.7561,Standing Still
1790088967248,432,0.2566,9.3033,0.6748,Standing Still
1790088967269,453,0.9781,9.1137,0.8937,Standing Still
1790088967290,474,1.7240,9.3954,0.9416,Standing Still
1790088967311,495,2.1805,9.8363,0.9553,Standing Still
1790088967332,516,1.4231,9.9553,1.2203,Standing Still
1790088967355,539,0.2279,9.9625,1.5906,Standing Still
1790088967374,558,-0.5791,9.8931,1.7228,Standing Still
1790088967396,580,-0.9033,9.5198,1.5900,Standing Still
1790088967416,600,-0.5055,9.2620,1.3274,Standing Still
1790088967439,623,0.2806,9.2758,1.1282,Standing Still
1790088967462,646,0.6891,9.2806,1.1258,Standing Still
1790088967483,667,0.5533,9.3829,1.3657,Standing Still
1790088967502,686,0.5198,9.3021,1.3484,Standing Still
1790088967523,707,0.2572,9.1615,1.4883,Standing Still
1790088967545,729,-0.1089,9.2046,1.8042,Standing Still
1790088967566,750,-0.3398,9.2728,2.0279,Standing Still
1790088967588,772,-0.2614,9.3715,1.9609,Standing Still
1790088967607,791,0.4546,9.5569,1.8473,Standing Still
1790088967628,812,0.7454,9.7980,2.4090,Standing Still
1790088967650,834,0.4941,9.9763,2.8510,Standing Still
1790088967671,855,0.3380,10.2018,2.4873,Standing Still
1790088967694,878,0.3703,9.9888,2.0082,Standing Still
1790088967714,898,0.5300,9.5073,1.9831,Standing Still
1790088967734,918,0.6347,9.1998,2.1170,Standing Still
1790088967755,939,0.2758,9.2028,2.4981,Standing Still
1790088967779,963,-0.0688,9.3129,2.7697,Standing Still
1790088967799,983,-0.1896,9.3637,2.8205,Standing Still
1790088967822,1006,-0.0060,9.4696,2.6991,Standing Still
1790088967840,1024,0.1178,9.8536,2.7440,Standing Still
1790088967861,1045,0.1023,10.1964,2.8534,Standing Still
1790088967884,1068,-0.2046,9.7597,2.9336,Standing Still
1790088967906,1090,-0.3942,9.0580,2.7194,Standing Still
1790088967927,1111,-0.4528,8.9779,2.5842,Standing Still
1790088967949,1133,-0.3673,9.0975,2.8062,Standing Still
1790088967967,1151,-0.2028,8.8152,3.0114,Standing Still
1790088967991,1175,0.1657,8.7769,2.7625,Standing Still
1790088968011,1195,0.5599,9.2351,2.4323,Standing Still
1790088968034,1218,0.5133,9.6826,2.4837,Standing Still
1790088968052,1236,0.0443,9.6610,2.7434,Standing Still
1790088968074,1258,-0.3523,9.0939,2.8917,Standing Still
1790088968095,1279,-0.1304,8.8403,2.5256,Standing Still
1790088968116,1300,0.0802,8.8505,2.2415,Standing Still
1790088968140,1324,-0.0239,8.7482,2.5747,Standing Still
1790088968158,1342,-0.0467,9.1801,3.0520,Standing Still
1790088968180,1364,0.2213,10.2844,2.6524,Standing Still
1790088968201,1385,0.0640,10.3035,2.4616,Standing Still
1790088968222,1406,-0.2028,9.2524,2.3701,Standing Still
1790088968244,1428,0.0479,8.6746,2.2062,Standing Still
1790088968267,1451,0.2267,8.8439,2.5137,Standing Still
1790088968287,1471,0.3003,9.1484,2.7960,Standing Still
1790088968307,1491,0.4068,9.2967,2.7212,Standing Still
1790088968329,1513,0.2249,9.8740,2.9480,Standing Still
1790088968350,1534,-0.5444,10.2939,3.3709,Standing Still
1790088968373,1557,-1.2808,9.7878,3.1585,Standing Still
1790088968391,1575,-1.1408,9.1615,2.4945,Standing Still
1790088968412,1596,-0.5168,9.4199,2.7338,Standing Still
1790088968435,1619,-0.0060,9.7089,2.9204,Standing Still
1790088968456,1640,0.3511,9.5964,2.4808,Standing Still
1790088968476,1660,0.6078,9.8154,1.8072,Standing Still
