timestamp_ms,rel_timestamp_ms,accel_x,accel_y,accel_z,label
1790089205936,16,0.2154,1.4943,11.0231,Walking
1790089205958,38,-0.0993,0.8249,11.8265,Walking
1790089205979,59,0.2333,1.2185,11.2062,Walking
1790089206001,81,0.6951,1.2221,10.3149,Walking
1790089206022,102,0.7292,1.3035,9.1872,Walking
1790089206042,122,0.1256,1.3131,8.4915,Walking
1790089206063,143,-0.2746,0.7783,8.6297,Walking
1790089206084,164,0.3846,1.1641,9.7693,Walking
1790089206105,185,1.2144,1.5733,10.1886,Walking
1790089206127,207,0.9894,1.4824,9.3350,Walking
1790089206148,228,-0.0191,1.5284,9.2124,Walking
1790089206168,248,-0.2716,1.0540,9.9649,Walking
1790089206189,269,-0.2040,0.9703,9.9218,Walking
1790089206211,291,-0.1567,1.4501,9.3111,Walking
1790089206232,312,-0.0538,1.4082,9.2046,Walking
1790089206253,333,0.1914,1.6588,9.2315,Walking
1790089206274,354,-0.0843,1.6337,8.7817,Walking
1790089206296,376,-0.3769,1.5649,8.7398,Walking
1790089206318,398,0.2070,1.9011,9.1771,Walking
1790089206338,418,0.3649,1.9250,9.4935,Walking
1790089206361,441,0.1370,1.9513,9.1872,Walking
1790089206380,460,0.1807,2.0034,8.9222,Walking
1790089206401,481,0.3434,2.0782,9.2381,Walking
1790089206423,503,0.3829,2.0566,10.0038,Walking
1790089206445,525,0.0688,1.9669,9.6180,Walking
1790089206465,545,0.2136,2.1888,9.4325,Walking
1790089206486,566,0.8100,2.4676,9.8172,Walking
1790089206507,587,0.8566,2.6166,9.8183,Walking
1790089206529,609,0.2907,2.5376,9.2925,Walking
1790089206550,630,0.4528,2.8122,8.9408,Walking
1790089206571,651,0.6401,3.0449,9.0269,Walking
1790089206592,672,1.0911,3.2333,9.5252,Walking
1790089206613,693,1.0606,3.4056,9.5934,Walking
1790089206634,714,1.0205,3.6066,9.1854,Walking
1790089206656,736,1.4758,3.8877,9.2746,Walking
1790089206677,757,1.7982,4.0594,9.5079,Walking
1790089206698,778,1.7276,3.9176,9.2937,Walking
1790089206720,800,1.4913,3.5492,8.4772,Walking
1790089206741,821,1.5948,3.3392,7.9854,Walking
1790089206762,842,1.8173,3.0658,8.9031,Walking
1790089206783,863,1.5823,2.7805,9.9781,Walking
1790089206804,884,1.5009,2.7960,10.4536,Walking
1790089206825,905,1.2634,2.9910,9.8644,Walking
1790089206846,926,1.1856,3.1502,9.2973,Walking
1790089206867,947,1.6289,3.2554,9.2650,Walking
1790089206889,969,1.6738,3.2052,9.0353,Walking
1790089206909,989,1.8150,3.1998,8.7404,Walking
1790089206931,1011,2.2540,3.2100,8.6943,Walking
1790089206952,1032,2.5424,3.2572,8.6160,Walking
1790089206973,1053,2.5382,3.2094,8.2199,Walking
1790089206995,1075,2.6955,3.2435,8.1996,Walking
1790089207016,1096,2.5765,3.0885,8.4927,Walking
1790089207037,1117,2.2457,2.9372,8.6178,Walking
1790089207058,1138,1.7671,2.7440,9.0814,Walking
1790089207080,1160,1.7049,2.8343,9.2602,Walking
1790089207100,1180,1.9430,3.1519,9.0006,Walking
1790089207121,1201,2.0949,3.5258,8.4407,Walking
1790089207142,1222,2.1476,3.7244,7.9645,Walking
1790089207164,1244,2.2253,3.8620,7.7498,Walking
1790089207185,1265,2.3372,3.9260,7.7258,Walking
1790089207207,1287,2.2481,3.9709,7.3047,Walking
1790089207228,1308,2.0865,3.9607,7.2281,Walking
1790089207248,1328,1.9986,3.8273,7.5841,Walking
1790089207270,1350,1.8885,3.7603,7.9334,Walking
1790089207291,1371,1.8407,3.7789,8.0351,Walking
1790089207312,1392,1.6618,3.8381,7.8042,Walking
1790089207333,1413,1.7001,4.1091,7.5643,Walking
1790089207354,1434,1.9687,4.2544,8.0752,Walking
1790089207376,1456,1.5948,4.1204,8.3480,Walking
1790089207397,1477,1.7121,4.3466,8.3862,Walking
1790089207419,1499,1.9274,4.5799,8.3575,Walking
1790089207440,1520,1.6857,4.5589,8.1721,Walking
1790089207461,1541,1.9304,4.7246,8.7374,Walking
1790089207481,1561,1.7420,4.6469,8.8313,Walking
1790089207504,1584,1.4770,4.5464,9.0389,Walking
1790089207524,1604,1.4261,4.4411,9.2327,Walking
1790089207545,1625,1.3561,4.4381,9.0269,Walking
1790089207566,1646,1.6062,4.5033,8.8265,Walking
1790089207587,1667,1.3944,4.3178,8.6064,Walking
1790089207608,1688,1.2634,3.9691,8.4754,Walking
1790089207630,1710,0.9458,3.7280,8.0734,Walking
1790089207652,1732,1.2096,3.9900,8.0812,Walking
1790089207672,1752,1.3053,3.9452,9.1358,Walking
1790089207694,1774,1.2742,3.6975,10.4758,Walking
1790089207715,1795,0.6700,3.0497,11.7553,Walking
1790089207736,1816,0.7352,2.5687,12.7298,Walking
1790089207757,1837,0.8339,2.5860,11.3785,Walking
1790089207780,1860,0.6778,2.7835,8.7829,Walking
1790089207802,1882,0.6383,2.9079,7.7013,Walking
1790089207822,1902,0.6287,2.7613,7.7910,Walking
1790089207842,1922,0.7161,2.7021,8.2349,Walking
1790089207863,1943,1.0624,2.7117,9.2345,Walking
1790089207884,1964,1.1402,2.7165,10.0439,Walking
1790089207907,1987,1.2030,2.7601,10.5266,Walking
1790089207927,2007,1.0128,2.7404,10.2473,Walking
1790089207947,2027,0.4911,2.7458,9.0389,Walking
1790089207969,2049,0.4558,2.8678,8.0094,Walking
1790089207990,2070,0.5827,3.0102,7.3663,Walking
1790089208011,2091,0.0162,2.7392,7.2969,Walking
1790089208033,2113,0.2142,2.7362,8.2110,Walking
1790089208054,2134,1.2287,3.1071,9.1980,Walking
1790089208074,2154,0.8518,3.2124,8.4772,Walking
1790089208097,2177,0.7238,3.2991,8.4179,Walking
1790089208119,2199,0.4606,3.2219,8.5902,Walking
1790089208139,2219,0.7765,3.2572,9.4977,Walking
1790089208162,2242,0.9649,3.3942,9.8937,Walking
1790089208182,2262,1.0654,3.4660,9.8363,Walking
1790089208205,2285,0.9631,3.4666,9.5868,Walking
1790089208224,2304,0.9236,3.5432,9.3811,Walking
1790089208246,2326,1.1037,3.6814,9.1226,Walking
1790089208266,2346,1.0325,3.7167,8.9157,Walking
1790089208288,2368,1.0546,3.7011,9.0628,Walking
1790089208308,2388,0.9571,3.7137,8.9234,Walking
1790089208331,2411,1.4231,3.9846,9.2937,Walking
1790089208351,2431,2.0273,4.2353,10.1779,Walking
1790089208372,2452,2.4120,4.3884,10.5266,Walking
1790089208394,2474,2.5161,4.3502,9.6754,Walking
1790089208415,2495,2.7482,4.1121,9.1675,Walking
1790089208435,2515,2.6309,3.5432,9.8937,Walking
1790089208457,2537,2.0608,2.9019,10.8203,Walking
1790089208478,2558,1.6331,2.5825,10.9496,Walking
1790089208501,2581,1.6834,2.6830,9.7831,Walking
1790089208522,2602,1.8108,2.7003,8.4132,Walking
1790089208542,2622,1.7886,2.5280,7.3567,Walking
