start_s,end_s,mean_mag,std_mag,label
0,2,9.71740882773331,0.39516857276519546,still
2,4,9.737774586838636,0.12874533564976498,still
4,6,9.746211150609847,0.042995006342330985,still
6,8,9.738698619994869,0.045208081270866035,still
8,10,9.743704506529696,0.04589321053611695,still
10,12,9.746271275519732,0.03822740102995595,still
12,14,9.74414133375799,0.035296967866804516,still
14,16,9.743290359091283,0.034743785766053414,still
16,18,9.747191465556464,0.05757137897277444,still
18,20,9.787627604834096,0.3597221808636973,still
